precio_crc,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado,cluster_id_hc
9490000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,82240.0,NEGRO,GRIS OSCURO,5,Alajuela,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9200000,2400.0,Sedán,7.0,Gasolina,Automática/Dual,Excelente,127000.0,PLATEADO,NEGRO,5,San José,9.0,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407,1.0
9200000,2500.0,Pánel,3.0,Diesel,Manual,Excelente,114000.0,BLANCO,NEGRO,5,Cartago,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9275000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,249448.0,AZUL,NEGRO,5,San José,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9300000,2000.0,Hatchback,5.0,Gasolina,Automática/Dual,Excelente,93000.0,GRIS,GRIS,4,Alajuela,9.0,MAZDA,JAPON,GENERALISTA,0.0108178277801817,2.0
9300000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,185074.0,NEGRO,BLANCO NEGRO,5,Heredia,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9350000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,97000.0,GRIS PLATA,NEGRO,5,Heredia,9.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0
9400000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,62838.0,GRIS,NEGRO,5,San José,9.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0
9443000,2000.0,Hatchback,5.0,Gasolina,Automática/Dual,Excelente,89000.0,AZUL,NEGRO,4,Heredia,9.0,BMW,ALEMANIA,PREMIUM,0.0410212029424491,0.0
9450000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,91000.0,GRIS,NEGRO,4,Alajuela,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
9495000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,111000.0,BLANCO,NEGRO,4,San José,9.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
9500000,2000.0,Hatchback,4.0,Gasolina,Automática/Dual,Excelente,72500.0,GRIS,NEGRO,3,San José,9.0,MINI,DESCONOCIDO,DESCONOCIDO,0.0052790999567286,0.0
9500000,2400.0,SUV 4WD/AWD,5.0,Diesel,Automática/Dual,Excelente,95000.0,NEGRO,BEIGE,5,San José,9.0,VOLVO,DESCONOCIDO,DESCONOCIDO,0.0061445261791432,0.0
9500000,1700.0,SUV 2WD,5.0,Diesel,Automática/Dual,Excelente,79500.0,GRIS OSCURO,NEGRO,5,San José,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9500000,2500.0,SUV 4WD/AWD,7.0,Gasolina,Automática/Dual,Excelente,43700.0,AZUL,BEIGE,5,Heredia,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,1.0
