marca,modelo,precio_crc,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado,cluster_id_hc,cluster
Ford,ESCAPE,4200000,2300.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,226917.0,BLANCO,BEIGE,4,Alajuela,18.0,FORD,USA,GENERALISTA,0.0259627866724361,2.0,Muy_usados_kilometreados
Honda,CIVIC,4250000,1800.0,Sedán,5.0,Gasolina,Manual,Excelente,220480.0,GRIS,BLANCO HUESO,4,Heredia,18.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,2.0,Muy_usados_kilometreados
Toyota,YARIS,4300000,1500.0,Sedán,5.0,Gasolina,Automática/Dual,Bueno,341824.0,NEGRO,NEGRO,4,Guanacaste,18.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,COROLLA,4300000,1600.0,Sedán,5.0,Gasolina,Manual,Excelente,173060.0,BLANCO,GRIS,4,San José,18.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,YARIS,4300000,1500.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,202000.0,GRIS,GRIS,5,Guanacaste,18.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Honda,CIVIC EX,4300000,1800.0,Sedán,5.0,Gasolina,Manual,Excelente,177000.0,GRIS PERLADO,GRIS,4,Alajuela,18.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,2.0,Muy_usados_kilometreados
Toyota,YARIS,4300000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,270000.0,VERDE,GRIS,4,Alajuela,18.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,YARIS,4300000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,237270.0,CELESTE,GRIS,4,Heredia,18.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,YARIS,4300000,1500.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,202777.0,GRIS,GRIS,4,Alajuela,17.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,YARIS,4300000,1500.0,Hatchback,5.0,Gasolina,Automática/Dual,Excelente,140000.0,GRIS,AZUL,3,Limón,18.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,0.0,Premium
Toyota,YARIS,4300000,1500.0,Hatchback,5.0,Gasolina,Automática/Dual,Excelente,164.0,GRIS,NEGRO,2,Cartago,18.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,0.0,Premium
Honda,CIVIC EX,4300000,1800.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,204000.0,GRIS,GRIS,5,Cartago,18.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,2.0,Muy_usados_kilometreados
Toyota,YARIS,4300000,1500.0,Hatchback,5.0,Gasolina,Automática/Dual,Excelente,215652.0,BLANCO,GRIS,4,San José,17.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,YARIS,4300000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,185795.0,CELESTE,BEIGE,4,Heredia,17.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,YARIS,4300000,1200.0,Hatchback,5.0,Gasolina,Manual,Muy Bueno,151000.0,GRIS,NEGRO,5,San José,17.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
