marca,modelo,precio_crc,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado,cluster_id_hc,cluster
Volkswagen,GOLF,900000,1800.0,Hatchback,5.0,Gasolina,Manual,Excelente,350.0,BLANCO,GRIS,5,San José,36.0,VOLKSWAGEN,ALEMANIA,DESCONOCIDO,0.0194720900043271,2.0,Muy_usados_kilometreados
Nissan,SENTRA B12,975000,1600.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,29000.0,AZUL,NEGRO,4,Alajuela,39.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Hyundai,PONY,1000000,1300.0,Pick Up 2WD,2.0,Gasolina,Manual,Bueno,111111.0,AZUL,NEGRO,2,San José,47.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0,Muy_usados_kilometreados
Mercedes,Benz 260E,1000000,2600.0,Sedán,5.0,Gasolina,Manual,Bueno,116294.0,ARENA,MARRÓN,4,San José,38.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,2.0,Muy_usados_kilometreados
Hyundai,STELLAR,1000000,1600.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,177500.0,GRIS,GRIS CLARO,5,Heredia,39.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0,Muy_usados_kilometreados
Chevrolet,NOVA,1100000,1600.0,Sedán,5.0,Gasolina,Manual,Bueno,251500.0,NEGRO,GRIS,5,San José,38.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Toyota,COROLLA,1100000,1500.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,542518.0,VERDE,NEGRO,4,San José,36.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Mazda,MPV,1150000,3000.0,Microbús/Minivan,7.0,Gasolina,Automática/Dual,Regular,275096.0,GRIS,AZUL,4,Heredia,37.0,MAZDA,JAPON,GENERALISTA,0.0108178277801817,2.0,Muy_usados_kilometreados
Nissan,VANETTE,1200000,1200.0,Microbús/Minivan,9.0,Gasolina,Manual,Bueno,76982.0,VERDE,VERDE,5,San José,42.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Nissan,SENTRA B12,1300000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,80000.0,BLANCO,GRIS,2,San José,39.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Subaru,LEONI,1350000,1600.0,Sedán,5.0,Gasolina,Manual,Excelente,320163.0,GRIS,GRIS,4,Cartago,46.0,SUBARU,JAPON,DESCONOCIDO,0.003634790134141,2.0,Muy_usados_kilometreados
Isuzu,AMIGO,1400000,2300.0,SUV 2WD,4.0,Gasolina,Manual,Muy Bueno,175000.0,AZUL,GRIS,2,Alajuela,36.0,ISUZU,DESCONOCIDO,COMERCIAL,0.0135871916919082,2.0,Muy_usados_kilometreados
Toyota,COROLLA,1500000,1300.0,Station Wagon,5.0,Gasolina,Manual,Bueno,364000.0,CELESTE,GRIS,4,Heredia,38.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Suzuki,SAMURAI JX,1500000,1324.0,Sedán,5.0,Gasolina,Manual,Regular,100000.0,GRIS,GRIS,3,Alajuela,39.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Suzuki,SAMURAI,2250000,1324.0,SUV 2WD,5.0,Gasolina,Manual,Bueno,98000.0,NARANJA,GRIS,3,Guanacaste,37.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Nissan,VANETTE,1500000,1200.0,Microbús/Minivan,9.0,Gasolina,Manual,Regular,230924.0,BLANCO,BLANCO,5,Puntarenas,40.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Isuzu,AMIGO,1550000,2600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Muy Bueno,327372.0,ROJO,NEGRO,3,Alajuela,37.0,ISUZU,DESCONOCIDO,COMERCIAL,0.0135871916919082,2.0,Muy_usados_kilometreados
Honda,CIVIC LX,1600000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,213000.0,VINO,NEGRO,4,San José,38.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,2.0,Muy_usados_kilometreados
Nissan,SENTRA RZ1,1700000,1600.0,Hatchback,4.0,Gasolina,Manual,Muy Bueno,404749.0,ROJO,NEGRO,3,San José,39.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Datsun,120Y,1800000,1200.0,Sedán,5.0,Gasolina,Manual,Bueno,70000.0,AZUL,NEGRO,4,San José,51.0,DATSUN,DESCONOCIDO,DESCONOCIDO,0.0004327131112072,2.0,Muy_usados_kilometreados
Oldsmobile,CUTLASS CIERA,1875000,2800.0,Sedán,5.0,Gasolina,Automática/Dual,Bueno,284570.0,BLANCO,GRIS/VINO,4,San José,37.0,OLDSMOBILE,DESCONOCIDO,DESCONOCIDO,8.654262224145392e-05,2.0,Muy_usados_kilometreados
Mercedes,Benz 190D,2000000,25000.0,Sedán,5.0,Diesel,Automática/Dual,Muy Bueno,45062.0,GRIS,NEGRO,4,Alajuela,38.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,0.0,Premium
Daihatsu,ROCKY,2000000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Muy Bueno,27000.0,GRIS,AZUL,3,San José,36.0,DAIHATSU,DESCONOCIDO,DESCONOCIDO,0.0072695802682821,2.0,Muy_usados_kilometreados
Suzuki,SAMURAI,2200000,1300.0,SUV 4WD/AWD,4.0,Gasolina,Manual,Muy Bueno,400000.0,GRIS,GRIS,2,Alajuela,39.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Chevrolet,CAPRICE CLASIC,2300000,5000.0,Pánel,5.0,Gasolina,Automática/Dual,Excelente,167728.0,GRIS,VINO,5,San José,41.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Daihatsu,ROCKY,2400000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Excelente,305775.0,GRIS OSCURO,NEGRO,3,Heredia,36.0,DAIHATSU,DESCONOCIDO,DESCONOCIDO,0.0072695802682821,2.0,Muy_usados_kilometreados
Datsun,620,2400000,2200.0,Pick Up 2WD,3.0,Diesel,Manual,Muy Bueno,100.0,BEIGE,NEGRO,2,Heredia,46.0,DATSUN,DESCONOCIDO,DESCONOCIDO,0.0004327131112072,2.0,Muy_usados_kilometreados
Suzuki,SAMURAI,2500000,1300.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Muy Bueno,135000.0,VERDE,GRIS,2,Guanacaste,39.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Geo,TRACKER,2590000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Bueno,92000.0,NEGRO,GRIS,3,Heredia,36.0,GEO,DESCONOCIDO,DESCONOCIDO,8.654262224145392e-05,2.0,Muy_usados_kilometreados
Mitsubishi,MONTERO,2600000,2500.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Muy Bueno,256789.0,AZUL,AZUL,2,Heredia,38.0,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407,2.0,Muy_usados_kilometreados
Toyota,1000,2700000,1000.0,Pick Up 2WD,2.0,Gasolina,Manual,Muy Bueno,999.0,ROJO,ROJO,3,Heredia,49.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Suzuki,SAMURAI,2700000,1500.0,SUV 4WD/AWD,4.0,Gasolina,Manual,Bueno,49.0,VERDE,GRIS,3,San José,38.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Toyota,STARLET,2900000,1500.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,81117.0,CREMA,BEIGE,5,Heredia,45.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,HILUX,2950000,2400.0,Pick Up 4WD,5.0,Gasolina,Manual,Bueno,277400.0,GRIS,GRIS,4,San José,40.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Land,Rover LAND ROVER,3000000,2500.0,SUV 4WD/AWD,7.0,Diesel,Manual,Excelente,300000.0,CAFÉ,CAFÉ,3,San José,55.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Datsun,720,3000000,2200.0,Pick Up 2WD,5.0,Diesel,Manual,Muy Bueno,45500.0,BLANCO,GRIS,4,San José,47.0,DATSUN,DESCONOCIDO,DESCONOCIDO,0.0004327131112072,2.0,Muy_usados_kilometreados
Toyota,HILUX,3400000,2400.0,Pick Up 2WD,3.0,Diesel,Manual,Bueno,660000.0,BLANCO,GRIS,2,Alajuela,36.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,0.0,Premium
Toyota,STARLET,3500000,1500.0,Hatchback,5.0,Gasolina,Manual,Excelente,96560.0,AZUL,NEGRO,2,San José,45.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Jeep,WILLYS,3500000,2500.0,Pick Up 4WD,2.0,Gasolina,Manual,Muy Bueno,100000.0,VERDE,VERDE,3,San José,66.0,JEEP,USA,DESCONOCIDO,0.0174816096927736,2.0,Muy_usados_kilometreados
Suzuki,SAMURAI JX,3950000,1300.0,SUV 4WD/AWD,4.0,Gasolina,Manual,Excelente,23600.0,GRIS,GRIS CON NEGRO,3,Alajuela,39.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Toyota,MR2,3500000,1600.0,Sedán,2.0,Gasolina,Manual,Excelente,160000.0,ROJO,NEGRO,2,Alajuela,39.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
BMW,316I E39,3750000,1800.0,Sedán,5.0,Gasolina,Automática/Dual,Muy Bueno,1000.0,NEGRO,NEGRO,4,Alajuela,36.0,BMW,ALEMANIA,PREMIUM,0.0410212029424491,2.0,Muy_usados_kilometreados
BMW,520I,3900000,1990.0,Sedán,5.0,Gasolina,Manual,Excelente,252000.0,AZUL,GRIS,5,Heredia,38.0,BMW,ALEMANIA,PREMIUM,0.0410212029424491,2.0,Muy_usados_kilometreados
Jeep,WRANGLER,3950000,2400.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Excelente,150000.0,NEGRO,BEIGE,2,San José,37.0,JEEP,USA,DESCONOCIDO,0.0174816096927736,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,4000000,3000.0,SUV 4WD/AWD,6.0,Diesel,Manual,Excelente,200000.0,NARANJA,NEGRO,4,Alajuela,49.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Suzuki,SAMURAI,4000000,1300.0,SUV 4WD/AWD,4.0,Gasolina,Manual,Muy Bueno,17700.0,AMARILLO,GRIS Y NEGRO,3,Heredia,39.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Rover,LAND ROVER,4150000,2250.0,SUV 4WD/AWD,7.0,Diesel,Manual,Muy Bueno,23108.0,VERDE,NEGRO - VERDE,3,Guanacaste,49.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Land,Rover SERIE II,4200000,2400.0,SUV 4WD/AWD,7.0,Diesel,Manual,Muy Bueno,79000.0,BLANCO,NEGRO,3,Alajuela,47.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Land,Rover SERIE II,4200000,2400.0,SUV 4WD/AWD,7.0,Diesel,Manual,Muy Bueno,97000.0,CREMA,CREMA,3,Alajuela,55.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Mercedes,Benz 190 TD,4200000,2500.0,Sedán,5.0,Diesel,Automática/Dual,Excelente,227000.0,BRONCE,NEGRO,4,San José,39.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,2.0,Muy_usados_kilometreados
Land,Rover SERIE 2 A,4473000,2250.0,SUV 4WD/AWD,7.0,Gasolina,Manual,Excelente,86000.0,AMARILLO,NEGRO,5,San José,63.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Toyota,HILUX,4500000,2400.0,Pick Up 4WD,4.0,Gasolina,Manual,Excelente,198000.0,CELESTE,CELESTE,2,San José,38.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
BMW,325I,4500000,2500.0,Sedán,4.0,Gasolina,Manual,Excelente,32187.0,GRIS,BEIGUE,4,Heredia,40.0,BMW,ALEMANIA,PREMIUM,0.0410212029424491,2.0,Muy_usados_kilometreados
Land,Rover SERIE 2,4500000,2250.0,SUV 4WD/AWD,9.0,Diesel,Manual,Regular,30000.0,VERDE,NEGRO,5,San José,55.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Land,Rover SERIE 3,4600000,2400.0,SUV 4WD/AWD,7.0,Diesel,Manual,Excelente,114000.0,LATA,NEGRO,3,Alajuela,48.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Toyota,4RUNNER,4700000,2400.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Excelente,218000.0,ROJO,GRIS,2,San José,39.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,4800000,3500.0,SUV 4WD/AWD,7.0,Diesel,Manual,Excelente,400000.0,VINO,VINO,3,San José,49.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,HILUX,5000000,3000.0,Pick Up 4WD,2.0,Gasolina,Manual,Bueno,264000.0,CELESTE,AZUL,2,Cartago,36.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER BJ40,5000000,3000.0,SUV 4WD/AWD,7.0,Diesel,Manual,Bueno,65000.0,CAFE,CAFE,4,San José,50.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,HILUX,5200000,2400.0,Pick Up 4WD,2.0,Gasolina,Manual,Bueno,207000.0,BLANCO,CAFÉ,2,San José,39.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Buick,LESABRE LE,5250000,5000.0,Station Wagon,8.0,Gasolina,Automática/Dual,Muy Bueno,100000.0,VINO- MADERA,VINO,5,San José,36.0,BUICK,DESCONOCIDO,DESCONOCIDO,8.654262224145392e-05,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,5300000,3000.0,SUV 4WD/AWD,5.0,Diesel,Manual,Excelente,1.0,AMARILLO,NEGRO,2,San José,51.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Land,Rover SANTANA,5900000,2000.0,SUV 4WD/AWD,7.0,Diesel,Manual,Excelente,400000.0,VERDE OSCURO,VERDE,3,Cartago,46.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Toyota,LANDCRUISER,6000000,3900.0,SUV 4WD/AWD,5.0,Diesel,Manual,Regular,70000.0,CAFE,CAFE,5,Alajuela,40.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Volkswagen,ESCARABJO,5500000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,9999.0,AZUL OSCURO,NEGRO,2,Alajuela,56.0,VOLKSWAGEN,ALEMANIA,DESCONOCIDO,0.0194720900043271,2.0,Muy_usados_kilometreados
Volkswagen,ESCARABAJO,5500000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,9999.0,AZUL OSCURO,NEGRO,2,Alajuela,56.0,VOLKSWAGEN,ALEMANIA,DESCONOCIDO,0.0194720900043271,2.0,Muy_usados_kilometreados
Chevrolet,VEGA AT,5500000,2294.0,Sedán,4.0,Gasolina,Manual,Muy Bueno,60000.0,NARANJA,CAFE,2,Alajuela,53.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,5500000,3500.0,SUV 4WD/AWD,6.0,Gasolina,Manual,Excelente,60000.0,AZUL,BEIGE,4,Cartago,49.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,5500000,3400.0,SUV 4WD/AWD,7.0,Diesel,Manual,Bueno,387000.0,GRIS,GRIS,3,Puntarenas,39.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,5700000,3000.0,SUV 4WD/AWD,7.0,Diesel,Manual,Muy Bueno,99999.0,BLANCO,NEGRO,3,San José,49.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,HILUX,5700000,2800.0,Pick Up 4WD,5.0,Diesel,Manual,Bueno,200000.0,GRIS,GRIS,2,Alajuela,37.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Jeep,WILLYS,6000000,2500.0,SUV 4WD/AWD,7.0,Gasolina,Manual,Muy Bueno,100.0,VERDE,VERDE,3,Cartago,66.0,JEEP,USA,DESCONOCIDO,0.0174816096927736,2.0,Muy_usados_kilometreados
Isuzu,KB,6000000,2800.0,Pick Up 4WD,3.0,Diesel,Manual,Excelente,300000.0,BLANCO,NEGRO,2,San José,36.0,ISUZU,DESCONOCIDO,COMERCIAL,0.0135871916919082,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,6250000,2400.0,SUV 4WD/AWD,7.0,Diesel,Manual,Muy Bueno,472000.0,AZUL,GRIS,3,Heredia,39.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,7600000,3000.0,SUV 4WD/AWD,7.0,Diesel,Manual,Bueno,100.0,ROJO,ROJO,4,Heredia,47.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Datsun,1200 COUPE,6500000,1400.0,Sedán,5.0,Gasolina,Manual,Excelente,123000.0,ANARANJADO,NEGRO,3,Heredia,53.0,DATSUN,DESCONOCIDO,DESCONOCIDO,0.0004327131112072,2.0,Muy_usados_kilometreados
Datsun,1200,6500000,1200.0,Pick Up 2WD,2.0,Gasolina,Manual,Excelente,97040.0,MOSTAZA,CAFÉ,2,Alajuela,46.0,DATSUN,DESCONOCIDO,DESCONOCIDO,0.0004327131112072,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER FJ45,7250000,4000.0,Pick Up 4WD,3.0,Gasolina,Manual,Muy Bueno,100.0,AZUL,NEGRO,2,Cartago,56.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Rolls,Royce SILVER SPUR,7500000,5700.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,90123.0,BURGUNDY,BLANCO,4,San José,41.0,ROLLS-ROYCE,DESCONOCIDO,PREMIUM,8.654262224145392e-05,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,7800000,3600.0,Pick Up 4WD,3.0,Diesel,Manual,Muy Bueno,188000.0,AZUL,AZUL,2,Cartago,49.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,7995000,4000.0,SUV 4WD/AWD,7.0,Gasolina,Manual,Excelente,17500.0,VERDE AGUA,CAFE,5,Cartago,48.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,HJ45,8000000,3600.0,Pick Up 4WD,2.0,Diesel,Manual,Bueno,100.0,BLANCO,BLANCO/GRIS,2,Cartago,49.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,8400000,3000.0,SUV 4WD/AWD,7.0,Diesel,Manual,Excelente,60352.0,BEIGE,BEIGE,4,Cartago,49.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Land,Rover DEFENDER,9000000,3000.0,SUV 4WD/AWD,7.0,Gasolina,Manual,Excelente,1.0,AZUL,CAFÉ,3,Alajuela,50.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER BJ70,9000000,3700.0,SUV 4WD/AWD,7.0,Diesel,Manual,Muy Bueno,480000.0,AMARILLO,GRIS,4,Heredia,41.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER HJ60,11690000,4000.0,SUV 4WD/AWD,8.0,Diesel,Manual,Muy Bueno,250000.0,BLANCO PERLADO,BEIGE,5,Alajuela,41.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Chevrolet,CAMARO SS,30250000,6200.0,Sedán,4.0,Gasolina,Automática/Dual,Excelente,30000.0,VERDE MUSGO,NEGRO,3,San José,59.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,10500000,4000.0,Station Wagon,5.0,Gasolina,Manual,Excelente,98000.0,ROJO,ROJO,3,San José,55.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Mercedes,Benz 450 SLC,11431000,4500.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,217261.0,CAFÉ,BEIGE,2,San José,46.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,11500000,3000.0,SUV 4WD/AWD,6.0,Diesel,Manual,Muy Bueno,178000.0,NARANJA,NARANJA,2,San José,48.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Land,Rover DEFENDER,12000000,4600.0,SUV 4WD/AWD,6.0,Gasolina,Automática/Dual,Excelente,254736.0,AZUL,BLANCO,3,Heredia,47.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER,13000000,3900.0,SUV 4WD/AWD,7.0,Gasolina,Manual,Excelente,23400.0,VERDE,GRIS,3,Heredia,53.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Land,Rover DEFENDER,14500000,2500.0,SUV 4WD/AWD,9.0,Diesel,Automática/Dual,Bueno,35000.0,AZUL OSCURO,NEGRO,5,Alajuela,38.0,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929,2.0,Muy_usados_kilometreados
Chevrolet,CORVETTE,15500000,5700.0,Sedán,2.0,Gasolina,Automática/Dual,Muy Bueno,50000.0,AZUL,ROJO,2,Cartago,45.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER BJ73,20000000,3500.0,SUV 4WD/AWD,5.0,Diesel,Manual,Excelente,400600.0,VERDE,GRIS,3,Puntarenas,38.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Ford,THUNDERBIRD,25000000,5000.0,Sedán,2.0,Gasolina,Manual,Excelente,57000.0,AMARILLO,NEGRO/BLANCO,2,San José,66.0,FORD,USA,GENERALISTA,0.0259627866724361,2.0,Muy_usados_kilometreados
Porsche,911 SWB,44500000,2300.0,Hatchback,4.0,Gasolina,Manual,Excelente,8400.0,AMARILLO,NEGRO,2,San José,58.0,PORSCHE,ALEMANIA,PREMIUM,0.0043271311120726,2.0,Muy_usados_kilometreados
Chevrolet,CAVALIER,1700000,2200.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,166850.0,VERDE,GRIS,4,Heredia,26.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Kia,SPORTAGE,390000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Regular,278000.0,AZUL,GRIS,5,San José,27.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0,Muy_usados_kilometreados
Nissan,SENTRA B14,700000,1600.0,Sedán,5.0,Gasolina,Automática/Dual,Regular,240000.0,GRIS,GRIS/NEGRO,4,Limón,27.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
GMC,JIMMY,1250000,4300.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Bueno,119000.0,NEGRO,GRIS,5,San José,26.0,GMC,DESCONOCIDO,DESCONOCIDO,0.0003461704889658,0.0,Premium
Volkswagen,JETTA MK4,1250000,2000.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,350000.0,VERDE,ARENA,4,Cartago,26.0,VOLKSWAGEN,ALEMANIA,DESCONOCIDO,0.0194720900043271,2.0,Muy_usados_kilometreados
Volkswagen,JETTA,1300000,2000.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,215000.0,AZUL,NEGRO Y BEIGE,4,Puntarenas,26.0,VOLKSWAGEN,ALEMANIA,DESCONOCIDO,0.0194720900043271,0.0,Premium
Nissan,SENTRA B13,1400000,1600.0,Sedán,5.0,Gasolina,Manual,Bueno,189000.0,VERDE,BEIGE,4,Heredia,26.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Chevrolet,BLAZER,1400000,4300.0,Station Wagon,5.0,Gasolina,Automática/Dual,Bueno,249000.0,BLANCO,GRIS,4,Heredia,27.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Mitsubishi,LANCER,1499999,1600.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,227000.0,PLATEADO,GRIS,4,Cartago,26.0,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407,0.0,Premium
Daihatsu,TERIOS,1500000,1300.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Bueno,300000.0,BLANCO,GRIS,5,San José,26.0,DAIHATSU,DESCONOCIDO,DESCONOCIDO,0.0072695802682821,0.0,Premium
Honda,CIVIC,1500000,1600.0,Sedán,5.0,Gasolina,Manual,Excelente,563269.0,BLANCO,GRIS,4,San José,26.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,2.0,Muy_usados_kilometreados
Hyundai,ACCENT,1500000,1500.0,Sedán,5.0,Gasolina,Automática/Dual,Muy Bueno,237000.0,NEGRO,GRIS,2,Alajuela,27.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,0.0,Premium
Mazda,PROTEGE,1550000,1600.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,169000.0,NEGRO,GRIS,4,San José,26.0,MAZDA,JAPON,GENERALISTA,0.0108178277801817,2.0,Muy_usados_kilometreados
