marca,modelo,precio_crc,precio_usd,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,impuestos_pagados,precio_negociable,recibe_vehiculo,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado
Hyundai,TUCSON,6100000,12274,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,64000,GRIS,NEGRO,4,SI,NO,NO,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6150000,12374,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,65000,GRIS PLATA,NEGRO,4,SI,SI,NO,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6200000,12475,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,170000,GRIS,NEGRO,4,SI,SI,NO,Cartago,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON LIMITED,6250000,12575,2400,SUV 2WD,5,Gasolina,Automática/Dual,Excelente,173809,AZUL,NEGRO,5,SI,SI,SI,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6300000,12676,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,90000,PLATA,NEGRO,4,SI,SI,NO,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,SANTA FE,6300000,12676,2000,SUV 2WD,7,Diesel,Automática/Dual,Muy Bueno,65000,BLANCO,NEGRO,5,SI,SI,NO,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Toyota,RAV4,6300000,12676,2400,SUV 4WD/AWD,5,Gasolina,Manual,Excelente,289,BEIGE,BEIGE,5,SI,NO,NO,San José,16,TOYOTA,JAPON,GENERALISTA,0.16486369536997
Hyundai,TUCSON,6350000,12777,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,67000,BLANCO,GRIS,5,SI,SI,NO,Heredia,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6350000,12777,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,171000,BLANCO,NEGRO,5,SI,SI,NO,Cartago,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6350000,12777,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,77000,GRIS PLATA,NEGRO,4,SI,SI,NO,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Kia,SORENTO,6400000,12877,2000,SUV 2WD,7,Diesel,Automática/Dual,Excelente,99700,GRIS,NEGRO,4,SI,SI,NO,Heredia,16,KIA,COREA,GENERALISTA,0.0618779749026396
Hyundai,TUCSON,6450000,12978,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,79000,NEGRO,NEGRO,4,SI,NO,NO,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6495000,13068,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,79619,GRIS,CAFE Y NEGRO,4,SI,NO,NO,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6500000,13078,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,62104,GRIS OSCURO,NEGRO,4,SI,SI,NO,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6500000,13078,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,81000,BLANCO,GRIS,5,SI,NO,NO,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
